english,russian
Review,"Обзор, сделать обзор"
Revise,"Пересматривать, проверять"
Revive,"Возрождать, оживлять"
Revolt,"Восстание, бунт"
Revolve,Вращаться
Reward,"Награда, награждать"
Rhyme,Рифма
Rib,Ребро
Ribbon,Лента
Rice,Рис
Rich,Богатый
Rid,"Освобождать, избавлять"
Riddle,Загадка
Ride,Ездить
Ridge,"Хребет, ребро"
Ridicule,Осмеяние
Ridiculous,"Смешной, нелепый"
Rifle,Винтовка
Rift,"Разрыв, трещина"
Rig,"Установка, сооружение"
Right away,Немедленно
Righteous,Праведный
Rigid,Жесткий
Rigorous,"Строгий, тщательный"
Rim,"Край, обод"
"Ring (rang, rung)","Звонить, звонок"
Rinse,"Полоскать, полоскание"
Riot,Бунт
Rip,Рвать
Rip off,"Обмануть, ободрать"
Ripe,Созревший
Ripple,Рябь или пульсация
"Rise (rose, risen)","Подниматься, повышаться"
Rite,"Церемония, ритуал"
Rival,"Соперничающий, враждебный"
Rivet,"Заклёпка, приковывать, клепать"
Roadside,"Обочина, придорожный"
Roadway,Проезжая часть
Roam,"Бродить, блуждать"
Roar,"Рёв, реветь"
Roast,Жарить
Rob,"Грабить, отнимать"
Robe,"Халат, мантия, одеяние"
Robust,"Крепкий, надёжный, здоровый"
Rock,"Камень, скала"
Rock,"Качать, трясти"
Rod,"Стержень, прут"
Rodent,Грызун
Rogue,"Жулик, проходимец"
Roll,"Рулон, клубок, свиток и т. д."
Roll,Катиться
Roll up,"Свернуть, скатать"
Roof,Крыша
Root,Корень
Root out,Искоренить
Rope,Верёвка
Rope in (into),Втянуть в занятие
Rot,Гнить
Rotate,"Сменять, чередовать"
Rotate,Вращать
Rotten,Гнилой
Rough,"Грубый, неровный, жёсткий"
Rough up,"Грубо обращаться, нападать"
Round down,Округлить (вниз)
Rouse,Будить
Route,Маршрут
Row,Грести
Row,Ряд
Rub,Тереть
Rubber,"Резина, резиновый"
Rubbish,Мусор (в осн. брит.)
Rubble,"Щебень, обломки"
Rude,"Грубый, неприличный"
Ruffle,"Рябить, взъерошить"
Rug,Коврик
Rugged,"Неровный, грубый"
Ruin,"Разрушать, губить"
Rule,Правило
Rule,Править
Ruler,Линейка
Rumble,"Грохот, рокот"
Rumor (rumour),Слух
Run after,Гнаться за
Run away,Убежать
Run counter,Противоречить
Run into,Случайно встретить
Run out of,Исчерпать запас
Run over,Переехать машиной
Runaway,"Беглый, беглец"
Runway,Взлётная полоса
Rupture,Разрыв
Rural,Сельский
Rush,"Торопиться, мчаться, броситься"
Rust,Ржавчина
Rustic,"Деревенский, простой, грубый"
Rustle,Шелест
Rut,"Борозда, колея, рутина"
Ruthless,Беспощадный
Sack,Мешок
Sacred,Священный
Sacrifice,Жертва
Saddle,Седло
Safe,"Надёжный, защищённый"
Sail,"Парус, плыть (о судне)"
Saint,Святой
Salary,Зарплата
Sale,"Продажа, сбыт"
Salesperson,Продавец (в магазине)
Salient,"Выступающий, заметный"
Saliva,Слюна
Salmon,Лосось
Salt,Соль
Salvage,"Спасти, уберечь от потери"
Salvation,Спасение
Sample,"Образец, часть"
Sanctuary,Убежище или заповедник
Sand,Песок
Sane,"Здравый, вменяемый"
Satellite,Спутник
Satisfy,Удовлетворять
Saturated,Насыщенный
Saucepan,Кастрюля или сковорода
Saucer,Блюдце
Sausage,Колбаса
Savage,"Дикарь, дикий (в т. ч. перен.)"
Save up,Накопить
Savings,Сбережения
Savior,Спаситель
Savor,"Вкус, смаковать"
Scaffold,Помост
Scale,"Чешуя, шелуха"
Scale,Взбираться
Scale,"Масштаб, шкала"
Scales,Весы
Scant,Скудный
Scar,Шрам
Scarce,"Редкий, скудный"
Scare,Пугать
Scarf,Шарф
Scarlet,Алый
Scatter,"Разбрасывать, рассеивать"
Scent,Нюх или аромат
Schedule,"График, расписание"
Scholar,Учёный
Scholarship (money),Стипендия
Scissors,Ножницы
Scold,Ругать
Scoop," совок, ковш, черпать"
Scope,"Пределы, район"
Score,"Счёт, очко, балл"
Scorn,"Презирать, презрение"
Scour,"Обыскать, прочесать"
Scout,Разведчик
Scowl,"Насупиться, рассердиться"
Scramble,"Драка, схватка"
Scramble,"Карабкаться, продираться"
Scrambled eggs,Яичница
Scrap,"Обломок, обрывок"
Scrape,Скрести
Scrape through,С трудом пройти
Scrape together,Наскрести (денег)
Scratch,"Царапать, царапина"
Scream,"Кричать, крик, вопль "
Screech,"Визг, скрип, хрип и т. д."
Screenplay,Сценарий
Screw,"Винт, ввинчивать"
Screw,К чёрту
Screw up,"Завалить, просрать"
Scribble,"Криво написать, нацарапать"
Scrub,"Чистить, драить"
Scrutiny,"Внимательный осмотр, изучение"
Scurry,"Бежать, сновать, суетиться"
Seal,"Печать, запечатывать"
Seal,Тюлень
Seam,Шов
Search,"Поиски, искать"
Seasoning,Приправа
Seat,"Место, сиденье"
Secular,Светский
Secure,"Безопасный, надёжный"
Sediment,Осадок
Seduce,Соблазнять
See off,Провожать (в путь)
See through,Довести до конца
See to,"Заняться, позаботиться"
Seed,"Семя, сеять"
"Seek (sought, sought)","Искать, стремиться"
Seep,"Просачиваться, проникать"
Segregate,Разделять
Seize,Схватить
Seldom,Редко
Select,"Выбирать, отбирать"
Selfish,Эгоистичный
Sell out of,Распродать (весь товар)
"Send (sent, sent)",Отправить
Send out,Рассылать
Senior,Старший
Sensation,Ощущение
Sensible,"Разумный, имеющий смысл"
Sensitive,Чувствительный
Sentence,Предложение
Sentence,Приговор
Sentiment,"Настроение, чувство"
Separate,"Отдельный, отделять"
Sequence,Последовательность
Serene,"Безмятежный, безоблачный"
Sermon,Проповедь
Serve,Служить
Serve,Сидеть (в тюрьме)
Serve,Подавать (блюдо)
"Set (set, set)","Установить, наладить"
Set about,"Приступить, начать"
Set down,"Написать, установить"
Set out,Разъяснять
Set out for,Отправиться
Set smb back,Задержать
Set smb back,Обойтись в (сумму)
Set smb up,Подставить
Set smb up with,"Устроить, организовать"
Set smb up with,"Познакомить, свести"
Settle,Уладить
Settle,Селиться
Settle for,Согласиться на
Settle in,Освоиться
Settle on,Определиться с
Sever,"Разрывать, разъединять"
Severe,"Серьёзный, суровый, жёсткий"
Sew,Шить
Sewage,"Канализация, сточные воды"
Sex,Пол
Shabby,"Облезлый, убогий"
Shack,"Лачуга, хибара, будка"
Shade,Тень
Shade,Оттенок (яркости)
Shadow,Тень
Shaft,"Вал, ось, стержень"
Shaft,Шахта (напр. лифта)
"Shake (shook, shaken)",Трясти
"Shake (shook, shaken)",Пожать (руки)
Shake off,Отделаться
Shake up,"Встряхнуть, взбудоражить"
Shallow,Мелкий
Shame,"Стыд, позор"
Shape,"Форма, формировать"
Share,"Делить, доля"
Share,Разделять (напр. мнение)
Shareholder,Акционер
Shark,Акула
Sharp,Острый
Shatter,"Разрушить, раздробить"
Shave,Брить
Shed,"Сарай, ангар и т.п."
"Shed (shed, shed)","Проливать, терять, сбрасывать"
Sheep (pl:sheep),Овца
Sheer,"Явный, полный, чистый"
Sheer,Отвесный
Sheet,Лист
Shelf (pl: shelves),"Полка, уступ"
Shell,"Скорлупа, раковина, гильза"
Shelter,"Укрытие, убежище"
Shepherd,Пастух
Shield,"Щит, прикрывать"
Shift,"Сменить, сдвинуть"
Shift,Смена (на работе)
Shimmer,"Мерцать, переливаться"
"Shine (shone, shined)","Сиять, блестеть, светить"
Ship,Доставлять
Shirt,Рубашка
Shiver,"Дрожь, дрожать"
Shoe,"Туфля, ботинок (низкий)"
"Shoot (shot, shot)",Стрелять
"Shoot (shot, shot)","Снимать, фотографировать"
Shore,Берег
Shortage,Нехватка
Shoulder,Плечо
Shout,Кричать
Shove,"Резко толкнуть, пихнуть"
Shovel,Лопата или совок
Show around,Показать места
Show off,"Показать всем, похвастаться"
Show up,"Прийти, появиться"
Showcase,"Витрина, демонстрировать"
Shower,Душ
Shred,Мелко порубить
Shrewd,Проницательный
Shriek,"Пронзительный крик, вскрикнуть"
Shrimp,Креветка
Shrine,Святыня
"Shrink (shrank, shrunk)","Сжаться, съёжиться"
Shroud,"Пелена, окутывать"
Shrub,Куст
Shrug,Пожать плечами
Shudder,"Содрогаться, дрожь"
Shuffle,"Перемешивать, тасовать"
Shun,Избегать
"Shut (shut, shut)",Закрыть
Shut out,Не впускать
Shut up,Заткнуться
Shy,Застенчивый
Siblings,Братья и сестры
Sick,"Больной, плохо чувствующий"
Sideline,Что-то вторичное
Sidewalk,Тротуар
Sideways,Вбок
Siege,Осада
Sift,Просеять
Sigh,Вздох
Sight,"Вид, поле зрения"
Sight,Достопримечаетльность
Sign,Знак
Sign,"Подпись, подписывать"
Sign up,"Записаться, зарегистрироваться"
Signature,Подпись
Signify,Означать
Silent,"Тихий, молчаливый"
Silk,Шелк
Sill,"Подоконник, порог"
Silly,Глупый
Simmer,Медленно кипятить
Simulate,"Моделировать, имитировать"
Simultaneous,Одновременный
Sin,"Грех, грешить"
Sincere,Искренний
Singular,"Единственный, особый"
Sinister,Зловещий
Sink,Раковина
"Sink (sank, sunk)","Тонуть, топить"
Sip,Глоток
Sit around,Просто сидеть
Sit back,Отсидеться
Sit out,Высидеть
Site,Местоположение
Situate,Располагать
Size up,"Изучить, оценить"
Skate,"Конёк, кататься на коньках"
Sketch,"Набросок, эскиз"
Ski,Ездить на лыжах
Skid,"Заносить, скользить, буксовать"
Skill,"Умение, искусство и т. д."
Skillet,Сковорода (глубокая)
Skim,Скользить (легко)
Skin,Кожа
Skinny,Тощий
Skip,"Прыгать, перепрыгивать"
Skirt,Юбка
Skull,Череп
Slab,"Плита, блок"
Slack,"Расслабление, поблажка"
Slam,"Хлопать, ударять, захлопывать"
Slant,"Наклон, скос, наклонять"
Slap,"Шлёпать, пощечина"
Slash,"Рубить, хлестать, кромсать"
Slate,Шифер или сланец
Slaughter,"Бойня (в т. ч. перен.), забивать"
Slave,Раб
"Slay (slew, slain)",Умертвить
Sleek,"Гладкий, лоснящийся"
Sleep around,"Трахаться, блудить"
Sleeve,Рукав
Slender,"Тонкий, стройный, изящный"
Slice,"Ломтик, нарезать"
Slick,Скользкий
"Slide (slid, slid)",Скользить
Slight,"Лёгкий, слабый, незначительный"
Slim,Стройный
Slime,Слизь
Slip,Скользнуть
Slipper,Тапок
Slippery,Скользкий
Slit,Щель
Slope,"Склон, наклон"
Sloppy,"Небрежный, неряшливый"
Slot,"Разъём, паз, гнездо"
Slow down,Замедлиться
Sludge,"Осадок, отстой, ил"
Slum,Трущобы
Slump,"Спад, сваливаться"
Slut,Шлюха
Sly,"Лукавый, коварный"
Smack,"Шлёпнуть, хлопнуть"
Smart,"Умный, хитрый"
Smash,"Громить, разбивать"
Smear,Мазать
Smell,"Запах, пахнуть, нюхать"
Smirk,Ухмылка
Smooth,Гладкий
Smother,Задушить
Smudge,Смазать
Smuggle,Провозить тайно
Snack,Лёгкая закуска
Snag,Коряга или загвоздка
Snail,Улитка
Snake,Змея
Snap,"Щёлкать, щелчок"
Snapshot,Снимок
Snarl,"Рычать, огрызаться"
Snatch,"Схватить, утащить"
Sneak,Красться
Sneakers,"Кеды, кроссовки"
Sneer,"Усмешка, насмехаться"
Sneeze,Чихать
Sniff,"Нюхать, сопеть, фы и т. д."
Snore,"Храп, храпеть"
Snort,"Фыркнуть, хмыкнуть"
Snowball,Снежок
Snug,"Уютный, тесный"
So far,До сих пор
Soak,"Мочить, пропитывать"
Soap,Мыло
Soar,"Парить, взмывать (втч. о ценах)"
Sob,"Рыдать, всхлипывать"
Sober,Трезвый
Sober up,Протрезветь
So-called,Так называемый
Soccer,Футбол
Sock,Носок
Socket,"Разъем, розетка"
Soften,Смягчать
Software,Программое обеспечение
Soil,Почва
Solar,Солнечный
Sole,Единственный
Sole,Подошва
Solemn,"Торжественный, серьёзный"
Solid,Сплошной
Solid,"Твёрдый, крепкий"
Solitary,Уединенный
Solitude,Одиночество
Solution,"Решение, ответ"
Solution,Раствор
Solve,Решить
Someday,Когда-нибудь
Somewhat,Слегка
Soot,Сажа
Soothe,Успокаивать
Sophisticated,"Сложный, изощрённый"
Sore,"Больной, рана"
Sorrow,"Горе, скорбь"
Sound,Здоровый
Sour,Кислый
Source,Источник
Sovereign,Суверенный
"Sow (sowed, sown)",Сеять
Spade,Лопата
Span,"Пролёт, интервал"
Spare,"Щадить, избавить"
Spare,"Запасной, лишний"
Spare,"Выделить, уделить"
Spark,"Искра, вспыхивать"
Sparkle,"Сверкать, блистать, искриться"
Sparse,"Редкий, разреженный"
Spawn,"Порождать, порождение и т. д."
Speak out,Высказать
Speak up,Говорить громче
Spear,Копье
Species,Вид (биол.)
Specify,"Указать, установить, уточнить"
Specimen,"Образец, экземпляр"
Speck,"Пятнышко, крупинка"
Spectacle,Зрелище
Spectator,"Зритель, наблюдатель"
Speculate,"Предполагать, строить догадки"
Speed up,Ускориться
Spell,"Заклинание, чары"
Spell,Произносить (писать) по буквам
Spell out,Разъяснить
"Spend (spent, spent)","Тратить, проводить (время)"
Spice,"Пряность, специя"
Spike,"Шип, штырь, острие, клин"
Spill,"Проливать, рассыпать"
Spin,Крутить
Spine,Позвоночник
Spirit,Дух
"Spit (spat, spat)",Плевать
Splash,"Брызги, всплеск"
Splendid,"Великолепный, блестящий"
Splinter,"Шепка, осколок, заноза"
"Split (split, split)","Расколоться, распасться"
Split up,Разделиться
Spoil,Портить
Spokesman,"Представитель, прес-секретарь"
Sponge,Губка
Spooky,Жуткий
Spot,Место
Spot,Пятно
Spot,"Заметить, увидеть"
Spotlight,"Прожектор, центр внимания"
Spouse,"Супруг, супруга"
Sprawl,"Растягиваться, расползаться"
"Spread (spread, spread)",Распространять(ся)
"Spring (sprang, sprung)",Прыгать
"Spring (sprang, sprung)","Источник, проистекать"
Sprinkle,"Побрызгать, посыпать"
Sprout,"Росток, прорастать"
Spur,"Шпора, побуждать"
Spy (on),"Шпион, шпионить"
Squad,"Команда, отряд"
Square,"Квадрат, квадратный"
Square,Площадь
Squash,"Раздавливать, расплющивать"
Squat,"Приседать, приземистый"
Squeak,"Пищать, скрипеть"
Squeal,"Визг, визжать"
Squeeze,Сжимать
Squid,Кальмар
Squint,Щуриться или коситься
Squirm,"Извиваться, ёрзать"
Squirrel,Белка
Squirt,Тонкая струя
Stab,"Ударить ножом, зарезать"
Stable,Устойчивый
Stack,"Стопка, куча, складывать"
Stagger,"Шататься, колебаться"
Stain,"Пятно, окрашиваться, пачкать"
Stairs,"Ступеньки, лестница"
Stake,"Стойка, кол, столб"
Stake,"Ставка, делать ставку"
Stale,Несвежий
Stalk,"Красться, преследовать"
Stalk,Стебель
Stall,"Задержаться, застопориться"
Stall,"Палатка, ларёк"
Stamp,"Печать, штамп, марка"
Stance,"Поза, положение"
Stand,"Терпеть, выносить"
Stand against,Противостоять
Stand by,"Поддерживать, быть наготове"
Stand for,Выступать за
Stand for,Обозначать (в сокращении)
Stand out,Выделяться
Standpoint,Точка зрения
Staple,"Скоба, скрепка"
Stare,"Пялиться, пристальный взгляд"
Stark,"Чёткий, жёсткий, острый (об. перен.)"
Start up,"Основать, установить"
Startle,Испугать (неожиданностью)
Starve,Голодать
Stash,"Тайник, заначка,  прятать"
Stature,Рост
Statutory,Установленный законом
Stay up,Не ложиться
Steady,Устойчивый
"Steal (stole, stolen)",Красть
Stealth,"Скрытность, хитрость"
Steam,Пар
Steel,"Сталь, стальной"
Steep,Крутой
Steer,"Управлять, направлять"
Stellar,Звездный
Stem,Стебель
Step,"Шаг, ступать, ступенька"
Step down,Уйти в отставку
Step in,Вмешаться
Stern,"Суровый, строгий"
Stew,"Тушить, рагу"
Stick,"Палка, тыкать палкой"
"Stick (stuck, stuck)",Приклеить
Stick at,Упорно продолжать
Stick out,"Торчать, выделяться"
Stick to,"Придерживаться, соблюдать"
Stick together,Держаться вместе
Stiff,"Жёсткий, негнущийся"
Stifle,Удушать
"Sting (stung, stung)","Жалить, жало"
"Stink (stank, stunk)",Вонять
Stir,"Шевелить(ся), двигать и т.д."
Stir up,"Вызвать, возбудить"
Stitch,"Стежок, сшить, зашить"
Stock,Запас
Stock,Акции
Stock up on,Запастись
Stocking,Чулок
Stomach,"Желудок, живот"
Stomp,Топать
Stool,Табурет
Stoop,Крыльцо со ступеньками (амер.)
Stoop,Наклоняться или сутулиться
Stop over,"Заехать, остановиться"
Store,"Хранить, хранилище"
Store,Магазин
Stout,"Толстый, плотный, крепкий"
Stove,Плита
Straight,"Прямой, прямо"
Straightforward,"Простой, прямой, откровенный"
Strain,"Напрягать, напряжение"
Strait,Пролив
Strand,"Застрять, сесть на мель"
Strand,"Прядь, нить (об. скрученная)"
Strangle,Придушить
Strap,Ремень
Straw,Солома
Strawberry,Клубника
Stray,"Бродить, бродячий"
Streak,"Полоса, след, струя"
Stream,"Поток, ручей"
Strength,"Сила, мощность, прочность"
Stress,"Подчеркнуть, заострить внимание"
Stretch,"Тянуть, вытягивать"
"Strew (strewn, strewn)",Разбрасывать
Strict,"Строгий, точный"
"Stride (strode, stridden)","Шагать, шаг"
Strike,Забастовка
"Strike (struck, struck)","Бить, удар"
Strike out,Потерпеть неудачу
String,"Струна, тетива, бечева"
Stringent,Строгий
Strip,"Полоса, лента"
Strip,Снимать (обнажать)
Stripe,Полоса
"Strive (strove, striven)","Стремиться, добиваться"
Stroke,Гладить
Stroll,"Прогулка, прогуливаться"
Struggle,"Бороться, борьба"
Stubborn,Упрямый
Stud,Шпилька
Stuff,"Вещи, всякая фигня"
Stuffy,Душный
Stumble,"Спотыкаться, запинаться"
Stump,Пень
Stun,"Ошеломить, оглушить"
Stunt,"Трюк, выходка"
Stupid,Глупый
Sturdy,Крепкий
Subdue,"Подавить, укротить"
Sublime,"Возвышенный, величественный"
Submerge,Погружаться под воду
Submit,Подавать информацию
Submit to,Подчиниться
Subordinate,"Подчиненный, подчинять"
Subscribe,Подписываться
Subsequent,Последующий
Subside,"Утихать, спадать"
Subsidiary,"Вспомогательный, дополнительный"
Subsist,"Существовать, прокормиться"
Substance,"Вещество, материя"
Substantial,"Существенный, значительный"
Substantive,"Существенный, основной"
Substitute,"Заменять, замена"
Subtitle,Субтитры или подзаголовок
Subtle,"Тонкий, неуловимый"
Subtract,Вычитать
Suburb,Пригород
Subvert,Подорвать
Subway,Метро (амер.)
Succeed,Достичь цели
Succession,"Последовательность, преемственность"
Successor,Преемник
Succumb,"Поддаться, не устоять"
Suck,Сосать
Sudden,Внезапный
Sue,Предъявить иск
Suffer,Страдать
Suffice,"Хватать, быть достаточным"
Sufficient,Достаточный
Suffocate,Задыхаться
Suggest,Предлагать
Suit,"Костюм, комплект"
Suit,"Подходить, соответствовать"
Suitcase,Чемодан
Suite,"Апартаменты, номер люкс"
Sulfur (sulphur),Сера
Sum,"Сумма, суммировать"
Sum up,Подытожить
Summary,"Сводка, конспект"
Summit,"Вершина, верх"
Summon,Вызывать
Sunset,Закат солнца
Superb,Превосходный
Superficial,Поверхностный
Superintendent,"Управляющий, начальник"
Superior,"Высший, превосходящий"
Supervise,"Надзирать, контролировать"
Supplement,"Дополнение, дополнять"
Supply,"Поставлять, поставка"
Supply,Предложение
Suppress,"Подавлять, удерживать"
Supreme,"Высший,  верховный"
Surf,Прибой
Surface,Поверхность
Surge,"Волна, всплеск, вздыматься"
Surgery,"Хирургия, операция"
Surpass,Превзойти
Surplus,"Избыток, излишек (экон.)"
Surprise,"Удивлять, удивление"
Surrender,"Сдаваться, капитулировать"
Surround,Окружать
Surveillance,Наблюдение
Survey,"Обзор, исследование"
Survive,Выжить
Susceptible,"Восприимчивый, подверженный"
Suspect,"Подозревать, подозреваемый"
Suspend,"Приостановить, подвесить"
Suspicious,Подозрительный
Sustain,Поддерживать
Swallow,"Проглатывать, глоток"
Swamp,"Болото, топь"
Swan,Лебедь
Swap,"Менять, обмен"
Swarm,"Рой, роиться, толпиться"
Sway,Раскачивать
Swear,Клясться
Swear,Ругаться
Sweat,"Пот, потеть"
Sweep,"Размах, охват"
"Sweep (swept, swept)",Подметать
Sweetheart,"Возлюбленный (ая), милый"
"Swell (swelled, swollen)","Раздуваться, распухать"
Swift,"Быстрый, скорый"
"Swing (swung, swung)","Качать, махать"
Swirl,"Кружить, вихрь, водоворот"
Switch,"Переключать, переключатель"
Swoop,"Кинуться, напасть"
Sword,Меч
Syllable,Слог
Symbol,Символ
Sympathy,Сочуствие
Syringe,Шприц
Tablet,"Плитка, пластина"
Tack,"Канцелярская кнопка, гвоздик"
Tack,"Курс, линия поведения"
Tackle,"Принадлежности, снаряжение"
Tackle,Взяться за что-л.
Tag,"Этикетка, ярлык"
Tail,Хвост
Tailor,"Портной, кроить"
Taint,"Загрязнить, испортить"
Take a look,Взглянуть
Take a walk,Прогуляться
Take aback,Ошеломить
Take advantage of,Воспользоваться
Take after,Быть в (родителей)
Take apart,Разбирать
Take away,Отнять
Take care,"Позаботиться, заняться"
Take down,Записать
Take in,"Понять, вникнуть"
Take off,Снять
Take off,Взлететь
Take on,"Соревноваться, столкнуться"
Take on,Набрать (напр. рабочих)
Take over,Принять обязанности
Take part,Принимать участие
Take place,"Происходить, бывать"
Take up,Заняться чем-либо
Talk into,Уговорить
Talk over,Обговорить
Talk smb out,Отговорить
Tall,Высокий (чел)
Tally,"Подсчитывать, подсчёт, итог"
Tame,"Ручной, приручать"
Tan,"Загар, загорать"
Tangible,Осязаемый
Tangle,Запутывать
Tank,Бак
Tap,Стучать
Tap,Кран
Tape,"Лента, записывать на ленту"
Tar,Смола
Target,"Цель, мишень"
Tart,"Пирог, обычно фруктовый"
Task,"Задание, задача"
Taste,"Вкус, иметь вкус"
Tattered,Оборванный
Taunt,"Насмехаться, насмешка"
Tear,Слеза
"Tear (tore, torn)",Рвать
Tease,Дразнить
Tedious,"Утомительный, нудный"
Teenage,Возраста 1-19
Tell apart,Различать
Tell from,Отличить
Tell off,Ругать
Tell on,Донести на кого-то
Temper,Характер
Temple,Храм
Temple,Висок
Temporary,Временный
Tempt,Искушать
Tenant,Арендатор
Tend,Иметь склонность
Tend,Ухаживать
Tender,Нежный
Tense,"Напряжённый, напрягать"
Tent,"Палатка, шатёр"
Tentative,"Пробный, экспериментальный"
Terminal,"Конечный, заключительный"
Terminate,"Прекратить, завершить (офиц.)"
Terrain,Местность
Terrible,Ужасный
Terrify,Устрашать
Terror,Ужас
Testament,"Завет, завещание"
Testify,Свидетельствовать
Testimony,"Показание, свидетельство"
Text,Писать (сообщение)
Thaw,"Оттепель, оттаивать"
Theater (theatre),Театр
Theft,Кража
Theme,Тема
Thereafter,Впоследствии
Thereby,Тем самым
Thermal,Тепловой
Thick,Толстый
Thick,Густой
Thief (pl: thieves),Вор
Thigh,Бедро
Thin,"Тонкий, худой"
Think over,Обдумать
Thirst,Жажда
Thorn,"Шип, колючка"
Thorough,"Основательный, полный"
Though (even though),Хотя
Thread,Нить
Threat,Угроза
Threshold,Порог
Thrift,Бережливость
Thrill,"Трепет, дрожь, дрожать"
Thrive,"Процветать, преуспевать"
Throat,Горло
Throng,"Толпа, толчея, толпиться"
"Throw (threw, thrown)",Бросать
Throw away,Выбрасывать
Throw up,Блевануть
Thrust,"Сунуть, пихнуть (быстро)"
Thud,Глухой удар
Thug,"Бандит, головорез"
Thumb,Большой палец
Thump,Колотить
Thunder,Гром
Thwart,"Помешать, сорвать"
Tick,"Галочка, поставить галочку"
Tick,Клещ
Ticket,"Билет, талон"
Tickle,Щекотать
Tide,"Волна, поток, прилив"
Tidy,"Опрятный, аккуратный"
Tie,"Галстук, завязка и т.п."
Tie,"Связывать, завязывать"
Tied up,Занятый
Tier,Ярус
Tight,"Тугой, тесный"
Tile,"Плитка, черепица"
Tilt,"Наклонять, наклон"
Timber,"Древесина, лесоматериалы"
Timely,Своевременный
Timetable,Расписание
Timid,"Робкий, пугливый"
Tin,Олово или жесть
Tinker with,"Возиться, пытаться сделать"
Tint,Оттенок
Tiny,Крошечный
Tip,"Кончик, верхушка"
Tip,"Совет, рекомендация"
Tip (tips),Чаевые
Tip smb off,"Предупредить, секретно сообщить"
Tire (tyre),Шина
Tired,Усталый
Tissue,Ткань
Tissue,Бумажная салфетка
Title,Заголовок
Toddler,Малыш (1- года)
Toe,Палец (ноги)
Toil,Тяжело трудиться
Token,"Знак, признак, маркер"
Tolerate,Терпеть
Toll,"Плата, пошлина, тариф"
Tomb,"Надгробие, склеп"
Tongue,Язык
Tool,Инструмент
Tooth (pl: teeth),Зуб
Topic,"Тема, предмет обсуждения"
Topple,Опрокинуть(ся)
Tops,Самое большое
Torch,"Факел, горелка"
Torment,Мучение
Torture,"Пытка, мучить"
Toss,Бросать
Touch,"Связь, контакт"
Touch,"Касаться, прикосновение"
Tough,"Жёсткий, крепкий, тяжёлый"
Tournament,Турнир
Tout,"Рекламировать, нявязывать"
Tow,"Буксир или эвакуатор, буксировать"
Toward (towards),По направлению к
Towel,Полотенце
Tower,"Башня, возвышаться"
Toy with,Подумывать о ч-л
Trace,"След, отслеживать"
Track,"След, выслеживать"
Track down,"Разыскать, отследить"
Traffic light,Светофор
Trail,"След, тропа"
Train,Поезд
Train,Тренировать
Trait,"Черта, характеристика"
Traitor,Изменник
Tram,Трамвай
Tramp,Бродяга
Tranquil,Спокойный
Transcend,Преодолеть (пределы)
Transcript,"Расшифровка, текст"
Transfer,"Перевести, перевод"
Transition,Переход
Transmit,"Передавать, переносить"
Transparent,Прозрачный
Trap,"Ловушка, ловить"
Trash,Мусор
Tray,"Лоток, поднос, поддон"
Treachery,"Предательство, вероломство"
Tread,"Ступать, шагать"
Treasure,Сокровище
Treat,"Обращаться, иметь дело"
Treaty,Договор (между гос-вами)
Trek,"Поход, переход"
Tremble,Дрожать
Tremendous,"Громадный, страшный"
Trench,Траншея
Trial,"Испытание, пробный"
Trial,Судебный процесс
Triangle,Треугольник
Tribe,Племя
Tribute,Дань
Trick,"Трюк, фокус, уловка"
Trickle,"Струйка, капать, сочиться"
Trigger,Спусковой крючок
Trim,"Подстригать, обрезать, ровнять"
Trip,Поездка
Triple,Тройной
Troop,Отряд
Trophy,"Трофей, приз"
Troublesome,"Хлопотный, беспокойный"
Trousers,Брюки
Trout,Форель
Truck,Грузовик
Trump,Козырь
Trumpet,Труба
Trunk,Багажник
Trunk,Ствол дерева
Trunk,"Чемодан, сундук"
Trust,Доверять
Try on,Примерить
Try out,Испытать
Tub,"Ванна, бадья"
Tube,Тюбик
Tube,Труба
Tube,Метро (в лондоне)
Tuck,"Подоткнуть, заправить и т. д."
Tug,"Тянуть, рывок"
Tuition,"Обучение, плата за обучение"
Tumble,"Перевернуться, кувыркнуться"
Tumor (tumour),Опухоль
Tuna,Тунец
Tune,"Мелодия, мотив"
Tune,Настраивать
Turkey,"Индейка, индюк"
Turmoil,"Смятение, беспорядок"
Turn away,Не пустить
Turn down,Отказаться от предложения
Turn into,Превращать (ся)
Turn off,Выключить
Turn off,Свернуть (с дороги)
Turn on,Включить
Turn on,"Заводить, возбуждать"
Turn out,Оказаться
Turn over,Перевернуть
Turn up,Сделать погромче
Turnover,Оборот (экон.)
Turtle,Черепаха
Tutor,"Репетитор, преподаватель"
Tweak,"Доделать, настроить (разг.)"
Twig,"Прут, веточка"
Twilight,Сумерки
Twin,Близнец
Twinkle,"Блеск, мерцание"
Twirl,Вертеть
Twist,Скручивать
Twitch,Дёргаться
Ugly,"Безобразный, уродливый"
Ultimate,"Окончательный, конечный"
Umbrella,Зонтик
Unanimous,Единогласный
Unbelievable,Невероятный
Uncle,Дядя
Undergo,"Пройти через, подвергнуться"
Underground,Подземный
Underlie,Лежать в основе
Underline,Подчеркивнуть
Undermine,Подрывать
Underneath,Под
Underpants,Трусы
Underscore,Нижнее подчеркивание
Undertake,Предпринимать
Underwear,Нижнее белье
Undo,"Расстёгнуть, развязать, открыть"
Unique,Уникальный
Unite,Объединять
Universe,Вселенная
